url|Date|Location|Info|Player|pl1_bet|pl2_bet|ply
/player/blanch-5d667/|20220301|Turin challenger|/match-detail/?id=2045510|Blanch D.|1.89|1.81|p2
/player/riedi-a3a3d/|20220301|Turin challenger|/match-detail/?id=2045524|Riedi L.|1.35|2.91|p1
/player/barreto-sanchez/|20220301|Turin challenger|/match-detail/?id=2045524|Barreto Sanchez D.|1.35|2.91|p2
/player/wallart/|20220301|Turin challenger|/match-detail/?id=2045516|Wallart E.|1.54|2.31|p1
/player/winter-lopez/|20220301|Turin challenger|/match-detail/?id=2045516|Winter Lopez B.|1.54|2.31|p2
/player/cretu-93488/|20220301|Turin challenger|/match-detail/?id=2045242|Cretu C.|1.22|3.81|p1
/player/zima-712b7/|20220301|Turin challenger|/match-detail/?id=2045242|Zima L.|1.22|3.81|p2
/player/gill-59a09/|20220301|Turin challenger|/match-detail/?id=2045238|Gill F.|1.11|5.44|p1
/player/niedner/|20220301|Turin challenger|/match-detail/?id=2045238|Niedner N.|1.11|5.44|p2
/player/kirci/|20220301|Turin challenger|/match-detail/?id=2045236|Kirci K.|2.07|1.68|p1
/player/klok/|20220301|Turin challenger|/match-detail/?id=2045236|Klok D.|2.07|1.68|p2
/player/manda/|20220301|Turin challenger|/match-detail/?id=2045244|Manda C.|1.68|1.98|p1
/player/mochizuki-7f854/|20220301|Turin challenger|/match-detail/?id=2045244|Mochizuki Y.|1.68|1.98|p2
/player/pujol-navarro/|20220301|Turin challenger|/match-detail/?id=2045518|Pujol Navarro B.|1.68|1.98|p1
/player/rabinad-vila/|20220301|Turin challenger|/match-detail/?id=2045518|Rabinad Vila K.|1.68|1.98|p2
/utr-pro-match-series/2022/atp-men/|20220301|UTR Pro Match Series|/match-detail/?id=2045518|Field|1.68|1.98|Field
/player/moreno-9a92e/|20220301|UTR Pro Match Series|/match-detail/?id=2046574|Moreno A.|1.68|1.98|p1
/player/nortey-0c11d/|20220301|UTR Pro Match Series|/match-detail/?id=2046574|Nortey I.|1.68|1.98|p2
/player/becroft/|20220301|UTR Pro Match Series|/match-detail/?id=2045966|Becroft I.|1.2|4.0|p1
/player/steiglehner/|20220301|UTR Pro Match Series|/match-detail/?id=2045966|Steiglehner N.|1.2|4.0|p2
/player/swenson/|20220301|UTR Pro Match Series|/match-detail/?id=2045964|Swenson B.|1.22|3.8|p1
/player/bigun-8898b/|20220301|UTR Pro Match Series|/match-detail/?id=2045964|Bigun M.|1.22|3.8|p2
/player/bangoura/|20220301|UTR Pro Match Series|/match-detail/?id=2045962|Bangoura S.|1.17|4.5|p1
/player/sysoev-d4153/|20220301|UTR Pro Match Series|/match-detail/?id=2045962|Sysoev N.|1.17|4.5|p2
/player/adam-0d577/|20220301|UTR Pro Match Series|/match-detail/?id=2045958|Adam N.|1.1|5.75|p1
/player/boulier-santelices/|20220301|UTR Pro Match Series|/match-detail/?id=2045958|Boulier Santelices L.|1.1|5.75|p2
/player/barreiros-reyes/|20220301|UTR Pro Match Series|/match-detail/?id=2046196|Barreiros Reyes M.|1.18|4.33|p1
/player/rivera-eb124/|20220301|UTR Pro Match Series|/match-detail/?id=2046196|Rivera H.|1.18|4.33|p2
/player/nidunjianzan-dc123/|20220301|UTR Pro Match Series|/match-detail/?id=2045956|Nidunjianzan T.|1.27|3.4|p1
/player/frusina/|20220301|UTR Pro Match Series|/match-detail/?id=2045956|Frusina A.|1.27|3.4|p2
/player/segura-e09a8/|20220301|UTR Pro Match Series|/match-detail/?id=2045954|Segura M.|1.27|3.4|p1
/player/arredondo-delgado/|20220301|UTR Pro Match Series|/match-detail/?id=2045954|Arredondo Delgado S.|1.27|3.4|p2
/utr-pro-tennis-series-5/2022/atp-men/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045954|Field|1.27|3.4|Field
/player/vukadin-763a8/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046010|Vukadin N.|5.25|1.12|p1
/player/snitari/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2046010|Snitari I.|5.25|1.12|p2
/player/ban-fda67/|20220301|UTR Pro Tennis Series 5|/match-detail/?id=2045988|Ban I.|1.53|2.35|p1
