url|Player|flag|height|weight|age|hand|year_pro
https://www.tennisexplorer.com/player/marterer/|Marterer M.|Germany|191.0|84.0|29.0|left|2011
https://www.tennisexplorer.com/player/van-rijthoven/|Van Rijthoven T.|Netherlands|188.0|89.0|27.0|right|2013
https://www.tennisexplorer.com/player/kamke/|Kamke T.|Germany|178.0|76.0|38.0|right|2003
https://www.tennisexplorer.com/player/jianu-c67fb/|Jianu F.|Romania|180.0|70.0|22.0|right|2016
https://www.tennisexplorer.com/player/nardi-e2cda/|Nardi L.|Italy|||21.0|right|2018
https://www.tennisexplorer.com/player/escoffier/|Escoffier A.|France|185.0|78.0|32.0|right|2008
https://www.tennisexplorer.com/player/lenz-a4376/|Lenz J.|Germany|188.0|82.0|31.0|right|2009
https://www.tennisexplorer.com/player/moraing/|Moraing M.|Germany|198.0|84.0|32.0|left|2008
https://www.tennisexplorer.com/player/guinard/|Guinard M.|France|196.0|81.0|28.0|right|2013
https://www.tennisexplorer.com/player/brouwer-44152/|Brouwer G.|Netherlands|191.0|72.0|28.0|left|2013
https://www.tennisexplorer.com/player/ficovich/|Ficovich J.|Argentina|191.0|78.0|27.0|right|2013
https://www.tennisexplorer.com/player/whitehouse-171ae/|Whitehouse M.|GreatBritain|188.0|80.0|31.0|right|2010
https://www.tennisexplorer.com/player/rodriguez-rodriguez-ad3a3/|Rodriguez Rodriguez J.|Colombia|||20.0|right|2019
https://www.tennisexplorer.com/player/kuzuhara/|Kuzuhara B.|USA|||20.0|right|2021
https://www.tennisexplorer.com/player/baquero/|Baquero D.|DominicanRep.||||right|2021
https://www.tennisexplorer.com/player/sekulic-13abc/|Sekulic P.|Australia|||20.0|right|2018
https://www.tennisexplorer.com/player/niki/|Niki T.|Japan|183.0|73.0|36.0|right|2005
https://www.tennisexplorer.com/player/walkin/|Walkin B.|GreatBritain|188.0|85.0|30.0|right|2013
https://www.tennisexplorer.com/player/vanshelboim/|Vanshelboim E.|Ukraine|188.0|86.0|23.0|right|2018
https://www.tennisexplorer.com/player/folliot/|Folliot Q.|France|||25.0|right|2015
https://www.tennisexplorer.com/player/pichler-fd7ab/|Pichler D.|Austria|178.0|70.0|28.0|right|2013
https://www.tennisexplorer.com/player/saitoh/|Saitoh K.|Japan|163.0|68.0|23.0|left|2019
https://www.tennisexplorer.com/player/romios/|Romios M.|Australia|183.0|73.0|25.0|right|2014
https://www.tennisexplorer.com/player/crawford-71058/|Crawford O.|GreatBritain|180.0|84.0|25.0|right|2016
https://www.tennisexplorer.com/player/munoz-1a9fc/|Munoz E.|DominicanRep.|||19.0|right|2019
https://www.tennisexplorer.com/player/angele/|Angele J.|France|206.0|93.0|24.0|right|2015
https://www.tennisexplorer.com/player/langmo/|Langmo C.|USA|191.0|84.0|28.0|right|2013
https://www.tennisexplorer.com/player/jasika/|Jasika O.|Australia|183.0|60.0|27.0|left|2011
https://www.tennisexplorer.com/player/bataljin/|Bataljin L.|Australia|168.0|53.0|28.0|right|2011
https://www.tennisexplorer.com/player/tokuda-f9c9a/|Tokuda R.|Japan|178.0|69.0|26.0|right|2013
https://www.tennisexplorer.com/player/addison-a190e/|Addison A.|Australia|191.0|82.0|28.0|right|2012
https://www.tennisexplorer.com/player/guerrieri/|Guerrieri A.|Italy|||25.0|left|2015
https://www.tennisexplorer.com/player/bosio-f82d1/|Bosio G.|Italy|||23.0|right|2016
https://www.tennisexplorer.com/player/tabacco-3fc98/|Tabacco G.|Italy|||21.0|right|2018
https://www.tennisexplorer.com/player/rottoli/|Rottoli L.|Italy|||22.0|right|2016
https://www.tennisexplorer.com/player/tabur/|Tabur C.|France|170.0|70.0|24.0|right|2015
https://www.tennisexplorer.com/player/ehrat/|Ehrat S.|Switzerland|180.0|72.0|33.0|right|2007
https://www.tennisexplorer.com/player/deckers/|Deckers A.|Netherlands|193.0|82.0|24.0|right|2017
https://www.tennisexplorer.com/player/ochi-91d1b/|Ochi M.|Japan|175.0|65.0|28.0|left|2014
https://www.tennisexplorer.com/player/shimizu-38ca9/|Shimizu Y.|Japan|163.0|62.0|25.0|left|2015
https://www.tennisexplorer.com/player/rocha-0492a/|Rocha H.|Portugal|||20.0|right|2020
https://www.tennisexplorer.com/player/sharipov-a3d0a/|Sharipov M.|Russia|||21.0|right|2019
https://www.tennisexplorer.com/player/khabibulin/|Khabibulin T.|Kazakhstan|185.0|83.0|29.0|right|2009
https://www.tennisexplorer.com/player/palan/|Palan D.|CzechRepublic|||23.0|right|2018
