url|Location|Surface
https://www.tennisexplorer.com/kitzbuhel|Kitzbühel|clay
https://www.tennisexplorer.com/iasi-challenger|Iasi challenger|clay
https://www.tennisexplorer.com/rome|Rome|clay
https://www.tennisexplorer.com/forli-challenger|Forli challenger|clay
https://www.tennisexplorer.com/hamburg|Hamburg|clay
https://www.tennisexplorer.com/sibiu-challenger|Sibiu challenger|clay
https://www.tennisexplorer.com/french-open|French Open|clay
https://www.tennisexplorer.com/biella-challenger|Biella challenger|clay
https://www.tennisexplorer.com/split-challenger|Split challenger|clay
https://www.tennisexplorer.com/british-tour-9|British Tour 9|indoors
https://www.tennisexplorer.com/barcelona-challenger|Barcelona challenger|clay
https://www.tennisexplorer.com/parma-challenger|Parma challenger|clay
https://www.tennisexplorer.com/british-tour-10|British Tour 10|indoors
https://www.tennisexplorer.com/alicante-challenger|Alicante challenger|hard
https://www.tennisexplorer.com/cologne|Cologne|indoors
https://www.tennisexplorer.com/lisbon-challenger|Lisbon challenger|clay
https://www.tennisexplorer.com/saint-petersburg|Saint Petersburg|indoors
https://www.tennisexplorer.com/sardinia|Sardinia|clay
https://www.tennisexplorer.com/ultimate-tennis-showdown-3|Ultimate Tennis Showdown 3|indoors
https://www.tennisexplorer.com/cologne-2|Cologne 2|indoors
https://www.tennisexplorer.com/ismaning-challenger|Ismaning challenger|indoors
https://www.tennisexplorer.com/istanbul-challenger|Istanbul challenger|hard
https://www.tennisexplorer.com/antwerp|Antwerp|indoors
https://www.tennisexplorer.com/hamburg-challenger|Hamburg challenger|indoors
https://www.tennisexplorer.com/vienna|Vienna|indoors
https://www.tennisexplorer.com/astana|Astana|indoors
https://www.tennisexplorer.com/eckental-challenger|Eckental challenger|indoors
https://www.tennisexplorer.com/paris-masters|Paris - Masters|indoors
https://www.tennisexplorer.com/parma-2-challenger|Parma 2 challenger|indoors
https://www.tennisexplorer.com/bratislava-challenger|Bratislava challenger|indoors
https://www.tennisexplorer.com/cary-challenger|Cary challenger|hard
https://www.tennisexplorer.com/sofia|Sofia|indoors
https://www.tennisexplorer.com/guayaquil-challenger|Guayaquil challenger|clay
https://www.tennisexplorer.com/orlando-challenger|Orlando challenger|hard
https://www.tennisexplorer.com/ortisei-challenger|Ortisei challenger|indoors
https://www.tennisexplorer.com/masters-cup-atp|Masters Cup ATP|indoors
https://www.tennisexplorer.com/utr-pro-tennis-series-2|UTR Pro Tennis Series 2|hard
https://www.tennisexplorer.com/lima-challenger|Lima challenger|clay
https://www.tennisexplorer.com/sao-paulo-challenger|Sao Paulo challenger|clay
https://www.tennisexplorer.com/campinas-challenger|Campinas challenger|clay
https://www.tennisexplorer.com/maia-challenger|Maia challenger|clay
https://www.tennisexplorer.com/german-championships|German Championships|indoors
https://www.tennisexplorer.com/czech-league|Czech league|indoors
https://www.tennisexplorer.com/utr-pro-tennis-series-3|UTR Pro Tennis Series 3|Varioussurfaces
https://www.tennisexplorer.com/british-tour-11|British Tour 11|indoors
https://www.tennisexplorer.com/battle-of-the-brits-3|Battle of the Brits 3|indoors
https://www.tennisexplorer.com/antalya-2|Antalya 2|hard
https://www.tennisexplorer.com/utr-pro-tennis-series-4|UTR Pro Tennis Series 4|clay
https://www.tennisexplorer.com/antalya-challenger|Antalya challenger|clay
https://www.tennisexplorer.com/a-day-at-the-drive-adelaide|A Day at the Drive (Adelaide)|hard
https://www.tennisexplorer.com/antalya-2-challenger|Antalya 2 challenger|clay
https://www.tennisexplorer.com/quimper-2-challenger|Quimper 2 challenger|indoors
https://www.tennisexplorer.com/great-ocean-road-open|Great Ocean Road Open|hard
https://www.tennisexplorer.com/murray-river-open-melbourne|Murray River Open (Melbourne)|hard
https://www.tennisexplorer.com/biella-2-challenger|Biella 2 challenger|indoors
https://www.tennisexplorer.com/biella-3-challenger|Biella 3 challenger|indoors
https://www.tennisexplorer.com/concepcion-challenger|Concepcion challenger|clay
https://www.tennisexplorer.com/potchefstroom-2-challenger|Potchefstroom 2 challenger|hard
https://www.tennisexplorer.com/singapore|Singapore|indoors
https://www.tennisexplorer.com/gran-canaria-2-challenger|Gran Canaria 2 challenger|clay
https://www.tennisexplorer.com/nur-sultan-2-challenger|Nur-Sultan 2 challenger|indoors
https://www.tennisexplorer.com/st-petersburg-challenger|St. Petersburg challenger|indoors
https://www.tennisexplorer.com/biella-4-challenger|Biella 4 challenger|indoors
https://www.tennisexplorer.com/st-petersburg-2-challenger|St. Petersburg 2 challenger|indoors
https://www.tennisexplorer.com/biella-5-challenger|Biella 5 challenger|indoors
https://www.tennisexplorer.com/cagliari|Cagliari|clay
https://www.tennisexplorer.com/marbella|Marbella|clay
https://www.tennisexplorer.com/oeiras-2-challenger|Oeiras 2 challenger|clay
https://www.tennisexplorer.com/monte-carlo|Monte Carlo|clay
