Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Davis Cup|1.25|3.3|Stanke C.|Germany|2016|||right|25.0|Rezoglazov P.|Ukraine|2021|||right|20.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Braithwaite T.|Australia|2019|||right|24.0|Southcombe M.|GreatBritain|2021|||right|21.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Hartson J.|Australia|2022|||||Franco T.|Argentina|2019|||right|22.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Edley A.|RSA|2021|||right||Alshati A.|Kuwait|2017|||right|22.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Pampanin P.|Italy|2016|||right|21.0|Vetrih M.|Slovenia|2022|||right|21.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Fortmann S.|RSA|2011|||right|31.0|Barr E.|GreatBritain|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Nakamura R.|Japan|2009|||right|29.0|Ramiaramanana L.|Madagascar|2004|72.0|175.0|left|35.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Fanselow S.|Germany|2007|||right|32.0|Guerra B.|Switzerland|2021|||right|27.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Dahiya P.|India|2015|||right|26.0|Suresh G.|India|2015|||right|27.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Vishwakarma S.|India|2014|74.0|191.0|left|29.0|Singh J.|India|2015|||left|28.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Tailleu P.|France|2021|||right|20.0|Connor P.|Ireland|2017|||right|23.0|Varioussurfaces|20220306
Davis Cup|1.25|3.3|Jovanovic P.|Montenegro|2021|||right|21.0|Zvech Flaborea Mreule M.|Italy|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Yamasaki J.|Japan|2013|75.0|180.0|right|27.0|De La Riva Bueno P.|Spain|2021|||right||Varioussurfaces|20220306
Davis Cup|1.25|3.3|Akay C.|Australia|2016|||right|22.0|Saritas G.|Turkey|2018|||right|21.0|Varioussurfaces|20220306
