Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
hard|Smoliner T.|AUT|Right-Handed|1.7|Butulija B.|SRB|Left-Handed|1.9|0.0|-7.0|-14.5|0.0|0.0|-3.0|-0.19999999999999996
hard|Story J.|ITA|Right-Handed|1.1|Vaccari L.|ITA|Right-Handed|5.7|0.0|6.0|-14.5|0.0|0.0|0.0|-4.6
hard|Bynoe E.|ITA|Right-Handed|1.51|Leather J.|ITA|Right-Handed|2.37|1.0||14.5|0.0|0.0|0.0|-0.8600000000000001
hard|Mukund S.|IND|Right-Handed|1.3|Haliak M.|BLR|Right-Handed|3.18|1.0||-222.0|3.0|2.0|1.0|-1.8800000000000001
hard|Sanchez Jover C.|ESP|Left-Handed|1.17|Vulpitta G.|ITA|Right-Handed|4.38|0.0|7.0|-14.5|0.0|0.0|5.0|-3.21
hard|Zeuch T.|DEU|Right-Handed|1.9|Van Herck L.|LUX|Right-Handed|1.7|1.0||14.5|0.0|0.0|-1.0|0.19999999999999996
hard|Coric B.|HRV|Right-Handed|2.58|Michelsen A.|ITA|Right-Handed|1.47|1.0||1859.0|7.0|5.0|8.0|1.11
hard|Moro Canas A.|ESP|Right-Handed|1.63|McCabe J.|AUS|Right-Handed|2.17|1.0||14.5|0.0|0.0|2.0|-0.54
hard|Shang J.|CHN|Left-Handed|1.9|Musetti L.|ITA|Right-Handed|1.89|0.0|-3.0|-1530.0|3.0|-2.0|-3.0|0.010000000000000009
hard|Cina F.|ITA|Right-Handed|1.61|Tomescu D.|ROU|Right-Handed|2.16|0.0|-8.0|-14.5|0.0|0.0|-8.0|-0.55
hard|Goldsteiner P.|AUT|Right-Handed|1.97|Sakellaridis D.|GRC|Right-Handed|1.7|1.0||14.5|-13.0|-10.0|16.0|0.27
